Level code,Preferred Label,ATC LEVEL
A11D,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12",3
A11DA,"Vitamin B1, plain",4
A11DA01,thiamine (vit B1),5
A11DA02,sulbutiamine,5
A11DA03,benfotiamine,5
A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,4
A11E,"VITAMIN B-COMPLEX, INCL. COMBINATIONS",3
A11EA,"Vitamin B-complex, plain",4
A11EB,Vitamin B-complex with vitamin C,4
A11EC,Vitamin B-complex with minerals,4
A11ED,Vitamin B-complex with anabolic steroids,4
A11EX,"Vitamin B-complex, other combinations",4
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",3
A11GA,"vitamin C products, plain",4
A11GA01,ascorbic acid,5
A11GB,vitamin C combinations,4
A11GB01,ascorbic acid and calcium,5
A11H,OTHER PLAIN VITAMIN PREPARATIONS in ATC,3
A11HA,Other plain vitamin preparations in ATC,4
A11HA01,nicotinamide,5
A11HA02,pyridoxine (vit B6),5
A11HA03,tocopherol,5
A11HA04,riboflavin (vit B2),5
A11HA05,biotin,5
A11HA06,pyridoxal phosphate,5
A11HA07,inositol,5
A11HA08,tocofersolan,5
A11HA30,dexpanthenol,5
A11HA31,calcium pantothenate,5
A11HA32,pantethine,5
A11J,"OTHER VITAMIN PRODUCTS, COMBINATIONS in ATC",3
A11JA,Combinations of vitamins,4
A11JB,Vitamins with minerals,4
A11JC,"Vitamins, other combinations",4
A12,MINERAL SUPPLEMENTS,2
A12A,CALCIUM SUPPLEMENTS,3
A12AA,Calcium,4
A12AA01,calcium phosphate,5
A12AA02,calcium glubionate,5
A12AA03,calcium gluconate,5
A12AA04,calcium carbonate,5
A12AA05,calcium lactate,5
A12AA06,calcium lactate gluconate,5
A12AA07,calcium chloride,5
A12AA08,calcium glycerylphosphate,5
